Latitude,Longitude,Date,Amount
57.145859,-2.101296,19/07/2019,281
57.145859,-2.101296,19/07/2019,306
57.145859,-2.101296,19/07/2019,286
57.145859,-2.101296,19/07/2019,273
57.145859,-2.101296,19/07/2019,456
57.145859,-2.101296,19/07/2019,407
57.145859,-2.101296,19/07/2019,482
57.145859,-2.101296,19/07/2019,392
57.145859,-2.101296,19/07/2019,587
57.145859,-2.101296,19/07/2019,470
57.145859,-2.101296,19/07/2019,440
57.145859,-2.101296,19/07/2019,455
57.145859,-2.101296,19/07/2019,385
57.145859,-2.101296,19/07/2019,511
57.145859,-2.101296,19/07/2019,591
57.145859,-2.101296,19/07/2019,492
57.145859,-2.101296,19/07/2019,438
57.145859,-2.101296,19/07/2019,627
57.145859,-2.101296,19/07/2019,480
57.145859,-2.101296,19/07/2019,472
57.145859,-2.101296,19/07/2019,467
57.145859,-2.101296,19/07/2019,530
57.145859,-2.101296,19/07/2019,535
57.145859,-2.101296,19/07/2019,404
57.145859,-2.101296,19/07/2019,662
57.145859,-2.101296,19/07/2019,439
57.145859,-2.101296,19/07/2019,593
57.145859,-2.101296,19/07/2019,552
57.145859,-2.101296,19/07/2019,494
57.145859,-2.101296,19/07/2019,380
57.145859,-2.101296,19/07/2019,395
57.145859,-2.101296,19/07/2019,539
57.145859,-2.101296,19/07/2019,768
57.145859,-2.101296,19/07/2019,551
57.145859,-2.101296,19/07/2019,657
57.145859,-2.101296,19/07/2019,747
57.145859,-2.101296,19/07/2019,536
57.145859,-2.101296,19/07/2019,525
57.145859,-2.101296,19/07/2019,562
57.145859,-2.101296,19/07/2019,428
57.145859,-2.101296,19/07/2019,435
57.145859,-2.101296,19/07/2019,451
57.145859,-2.101296,19/07/2019,575
57.145859,-2.101296,19/07/2019,710
57.145859,-2.101296,19/07/2019,664
57.145859,-2.101296,19/07/2019,465
57.145859,-2.101296,19/07/2019,496
57.145859,-2.101296,19/07/2019,544
57.145859,-2.101296,19/07/2019,394
57.145859,-2.101296,19/07/2019,350
57.145859,-2.101296,19/07/2019,461
57.145859,-2.101296,19/07/2019,462
57.145859,-2.101296,19/07/2019,490
57.145859,-2.101296,19/07/2019,452
57.145859,-2.101296,19/07/2019,411
57.145859,-2.101296,19/07/2019,436
57.145859,-2.101296,19/07/2019,365
57.145859,-2.101296,19/07/2019,419
57.145859,-2.101296,19/07/2019,399
57.145859,-2.101296,19/07/2019,378
57.145859,-2.101296,19/07/2019,344
57.145859,-2.101296,19/07/2019,278
57.145859,-2.101296,19/07/2019,278
57.145859,-2.101296,19/07/2019,407
57.145859,-2.101296,19/07/2019,371
57.145859,-2.101296,19/07/2019,319
57.145859,-2.101296,19/07/2019,247
57.145859,-2.101296,19/07/2019,376
57.145859,-2.101296,19/07/2019,318
57.145859,-2.101296,19/07/2019,241
57.145859,-2.101296,19/07/2019,255
57.145859,-2.101296,20/07/2019,231
57.145859,-2.101296,20/07/2019,201
57.145859,-2.101296,20/07/2019,204
57.145859,-2.101296,20/07/2019,137
57.145859,-2.101296,20/07/2019,219
57.145859,-2.101296,20/07/2019,178
57.145859,-2.101296,20/07/2019,157
57.145859,-2.101296,20/07/2019,228
57.145859,-2.101296,20/07/2019,146
57.145859,-2.101296,20/07/2019,144
57.145859,-2.101296,20/07/2019,112
57.145859,-2.101296,20/07/2019,86
57.145859,-2.101296,20/07/2019,103
57.145859,-2.101296,20/07/2019,120
57.145859,-2.101296,20/07/2019,93
57.145859,-2.101296,20/07/2019,121
57.145859,-2.101296,20/07/2019,75
57.145859,-2.101296,20/07/2019,73
57.145859,-2.101296,20/07/2019,69
57.145859,-2.101296,20/07/2019,89
57.145859,-2.101296,20/07/2019,97
57.145859,-2.101296,20/07/2019,96
57.145859,-2.101296,20/07/2019,108
57.145859,-2.101296,20/07/2019,80
57.145859,-2.101296,20/07/2019,164
57.145859,-2.101296,20/07/2019,135
57.145859,-2.101296,20/07/2019,169
57.145859,-2.101296,20/07/2019,139
57.145859,-2.101296,20/07/2019,100
57.145859,-2.101296,20/07/2019,152
57.145859,-2.101296,20/07/2019,145
57.145859,-2.101296,20/07/2019,219
57.145859,-2.101296,20/07/2019,168
57.145859,-2.101296,20/07/2019,194
57.145859,-2.101296,20/07/2019,264
57.145859,-2.101296,20/07/2019,316
57.145859,-2.101296,20/07/2019,235
57.145859,-2.101296,20/07/2019,302
57.145859,-2.101296,20/07/2019,311
57.145859,-2.101296,20/07/2019,371
57.145859,-2.101296,20/07/2019,406
57.145859,-2.101296,20/07/2019,369
57.145859,-2.101296,20/07/2019,442
57.145859,-2.101296,20/07/2019,530
57.145859,-2.101296,20/07/2019,451
57.145859,-2.101296,20/07/2019,613
57.145859,-2.101296,20/07/2019,474
57.145859,-2.101296,20/07/2019,480
57.145859,-2.101296,20/07/2019,617
57.145859,-2.101296,20/07/2019,586
57.145859,-2.101296,20/07/2019,509
57.145859,-2.101296,20/07/2019,436
57.145859,-2.101296,20/07/2019,466
57.145859,-2.101296,20/07/2019,488
57.145859,-2.101296,20/07/2019,498
57.145859,-2.101296,20/07/2019,683
57.145859,-2.101296,20/07/2019,523
57.145859,-2.101296,20/07/2019,468
57.145859,-2.101296,20/07/2019,433
57.145859,-2.101296,20/07/2019,531
57.145859,-2.101296,20/07/2019,482
57.145859,-2.101296,20/07/2019,565
57.145859,-2.101296,20/07/2019,376
57.145859,-2.101296,20/07/2019,379
57.145859,-2.101296,20/07/2019,401
57.145859,-2.101296,20/07/2019,470
57.145859,-2.101296,20/07/2019,409
57.145859,-2.101296,20/07/2019,398
57.145859,-2.101296,20/07/2019,581
57.145859,-2.101296,20/07/2019,418
57.145859,-2.101296,20/07/2019,373
57.145859,-2.101296,20/07/2019,421
57.145859,-2.101296,20/07/2019,377
57.145859,-2.101296,20/07/2019,425
57.145859,-2.101296,20/07/2019,441
57.145859,-2.101296,20/07/2019,352
57.145859,-2.101296,20/07/2019,442
57.145859,-2.101296,20/07/2019,421
57.145859,-2.101296,20/07/2019,352
57.145859,-2.101296,20/07/2019,421
57.145859,-2.101296,20/07/2019,407
57.145859,-2.101296,20/07/2019,435
57.145859,-2.101296,20/07/2019,320
57.145859,-2.101296,20/07/2019,391
57.145859,-2.101296,20/07/2019,356
57.145859,-2.101296,20/07/2019,431
57.145859,-2.101296,20/07/2019,281
57.145859,-2.101296,20/07/2019,313
57.145859,-2.101296,20/07/2019,289
57.145859,-2.101296,20/07/2019,373
57.145859,-2.101296,20/07/2019,448
57.145859,-2.101296,20/07/2019,297
57.145859,-2.101296,20/07/2019,301
57.145859,-2.101296,20/07/2019,337
57.145859,-2.101296,20/07/2019,292
57.145859,-2.101296,20/07/2019,283
57.145859,-2.101296,21/07/2019,312
57.145859,-2.101296,21/07/2019,257
57.145859,-2.101296,21/07/2019,264
57.145859,-2.101296,21/07/2019,289
57.145859,-2.101296,21/07/2019,266
57.145859,-2.101296,21/07/2019,303
57.145859,-2.101296,21/07/2019,208
57.145859,-2.101296,21/07/2019,198
57.145859,-2.101296,21/07/2019,216
57.145859,-2.101296,21/07/2019,186
57.145859,-2.101296,21/07/2019,184
57.145859,-2.101296,21/07/2019,170
57.145859,-2.101296,21/07/2019,171
57.145859,-2.101296,21/07/2019,292
57.145859,-2.101296,21/07/2019,167
57.145859,-2.101296,21/07/2019,181
57.145859,-2.101296,21/07/2019,152
57.145859,-2.101296,21/07/2019,123
57.145859,-2.101296,21/07/2019,86
57.145859,-2.101296,21/07/2019,146
57.145859,-2.101296,21/07/2019,103
57.145859,-2.101296,21/07/2019,58
57.145859,-2.101296,21/07/2019,71
57.145859,-2.101296,21/07/2019,62
57.145859,-2.101296,21/07/2019,71
57.145859,-2.101296,21/07/2019,91
57.145859,-2.101296,21/07/2019,97
57.145859,-2.101296,21/07/2019,97
57.145859,-2.101296,21/07/2019,89
57.145859,-2.101296,21/07/2019,102
57.145859,-2.101296,21/07/2019,70
57.145859,-2.101296,21/07/2019,116
57.145859,-2.101296,21/07/2019,133
57.145859,-2.101296,21/07/2019,80
57.145859,-2.101296,21/07/2019,97
57.145859,-2.101296,21/07/2019,177
57.145859,-2.101296,21/07/2019,232
57.145859,-2.101296,21/07/2019,192
57.145859,-2.101296,21/07/2019,171
57.145859,-2.101296,21/07/2019,240
57.145859,-2.101296,21/07/2019,293
57.145859,-2.101296,21/07/2019,382
57.145859,-2.101296,21/07/2019,293
57.145859,-2.101296,21/07/2019,399
57.145859,-2.101296,21/07/2019,337
57.145859,-2.101296,21/07/2019,377
57.145859,-2.101296,21/07/2019,430
57.145859,-2.101296,21/07/2019,493
57.145859,-2.101296,21/07/2019,503
57.145859,-2.101296,21/07/2019,477
