Site,Day,Date,StartTime,EndTime,Amount
57.145859,-2.101296,14/07/2019,21:00,21:15,206
57.145859,-2.101296,14/07/2019,21:15,21:30,242
57.145859,-2.101296,14/07/2019,21:30,21:45,242
57.145859,-2.101296,14/07/2019,21:45,22:00,195
57.145859,-2.101296,14/07/2019,22:00,22:15,168
57.145859,-2.101296,14/07/2019,22:15,22:30,184
57.145859,-2.101296,14/07/2019,22:30,22:45,214
57.145859,-2.101296,14/07/2019,22:45,23:00,156
57.145859,-2.101296,14/07/2019,23:00,23:15,178
57.145859,-2.101296,14/07/2019,23:15,23:30,159
57.145859,-2.101296,14/07/2019,23:30,23:45,145
57.145859,-2.101296,14/07/2019,23:45,24:00:00,117
57.145859,-2.101296,15/07/2019,00:00,00:15,153
57.145859,-2.101296,15/07/2019,00:15,00:30,122
57.145859,-2.101296,15/07/2019,00:30,00:45,76
57.145859,-2.101296,15/07/2019,00:45,01:00,78
57.145859,-2.101296,15/07/2019,01:00,01:15,77
57.145859,-2.101296,15/07/2019,01:15,01:30,41
57.145859,-2.101296,15/07/2019,01:30,01:45,79
57.145859,-2.101296,15/07/2019,01:45,02:00,49
57.145859,-2.101296,15/07/2019,02:00,02:15,58
57.145859,-2.101296,15/07/2019,02:15,02:30,52
57.145859,-2.101296,15/07/2019,02:30,02:45,56
57.145859,-2.101296,15/07/2019,02:45,03:00,45
57.145859,-2.101296,15/07/2019,03:00,03:15,103
57.145859,-2.101296,15/07/2019,03:15,03:30,328
57.145859,-2.101296,15/07/2019,03:30,03:45,43
57.145859,-2.101296,15/07/2019,03:45,04:00,71
57.145859,-2.101296,15/07/2019,04:00,04:15,51
57.145859,-2.101296,15/07/2019,04:15,04:30,30
57.145859,-2.101296,15/07/2019,04:30,04:45,55
57.145859,-2.101296,15/07/2019,04:45,05:00,90
57.145859,-2.101296,15/07/2019,05:00,05:15,108
57.145859,-2.101296,15/07/2019,05:15,05:30,106
57.145859,-2.101296,15/07/2019,05:30,05:45,114
57.145859,-2.101296,15/07/2019,05:45,06:00,159
57.145859,-2.101296,15/07/2019,06:00,06:15,148
57.145859,-2.101296,15/07/2019,06:15,06:30,213
57.145859,-2.101296,15/07/2019,06:30,06:45,326
57.145859,-2.101296,15/07/2019,06:45,07:00,297
57.145859,-2.101296,15/07/2019,07:00,07:15,364
57.145859,-2.101296,15/07/2019,07:15,07:30,355
57.145859,-2.101296,15/07/2019,07:30,07:45,434
57.145859,-2.101296,15/07/2019,07:45,08:00,571
57.145859,-2.101296,15/07/2019,08:00,08:15,502
57.145859,-2.101296,15/07/2019,08:15,08:30,484
57.145859,-2.101296,15/07/2019,08:30,08:45,616
57.145859,-2.101296,15/07/2019,08:45,09:00,424
57.145859,-2.101296,15/07/2019,09:00,09:15,446
57.145859,-2.101296,15/07/2019,09:15,09:30,429
57.145859,-2.101296,15/07/2019,09:30,09:45,350
57.145859,-2.101296,15/07/2019,09:45,10:00,425
57.145859,-2.101296,15/07/2019,10:00,10:15,345
57.145859,-2.101296,15/07/2019,10:15,10:30,325
57.145859,-2.101296,15/07/2019,10:30,10:45,403
57.145859,-2.101296,15/07/2019,10:45,11:00,487
57.145859,-2.101296,15/07/2019,11:00,11:15,438
57.145859,-2.101296,15/07/2019,11:15,11:30,360
57.145859,-2.101296,15/07/2019,11:30,11:45,460
57.145859,-2.101296,15/07/2019,11:45,12:00,572
57.145859,-2.101296,15/07/2019,12:00,12:15,572
57.145859,-2.101296,15/07/2019,12:15,12:30,431
57.145859,-2.101296,15/07/2019,12:30,12:45,481
57.145859,-2.101296,15/07/2019,12:45,13:00,694
57.145859,-2.101296,15/07/2019,13:00,13:15,542
57.145859,-2.101296,15/07/2019,13:15,13:30,453
57.145859,-2.101296,15/07/2019,13:30,13:45,392
57.145859,-2.101296,15/07/2019,13:45,14:00,453
57.145859,-2.101296,15/07/2019,14:00,14:15,548
57.145859,-2.101296,15/07/2019,14:15,14:30,719
57.145859,-2.101296,15/07/2019,14:30,14:45,754
57.145859,-2.101296,15/07/2019,14:45,15:00,629
57.145859,-2.101296,15/07/2019,15:00,15:15,390
57.145859,-2.101296,15/07/2019,15:15,15:30,411
