Site,Day,Date,StartTime,EndTime,Flow
N01171A,FR,18-10-2019,20:45,21:00,386
N01171A,FR,18-10-2019,21:00,21:15,371
N01171A,FR,18-10-2019,21:15,21:30,364
N01171A,FR,18-10-2019,21:30,21:45,331
N01171A,FR,18-10-2019,21:45,22:00,306
N01171A,FR,18-10-2019,22:00,22:15,487
N01171A,FR,18-10-2019,22:15,22:30,417
N01171A,FR,18-10-2019,22:30,22:45,279
N01171A,FR,18-10-2019,22:45,23:00,310
N01171A,FR,18-10-2019,23:00,23:15,259
N01171A,FR,18-10-2019,23:15,23:30,266
N01171A,FR,18-10-2019,23:30,23:45,240
N01171A,FR,18-10-2019,23:45,24:00,239
N01171A,SA,19-10-2019,00:00,00:15,173
N01171A,SA,19-10-2019,00:15,00:30,176
N01171A,SA,19-10-2019,00:30,00:45,164
N01171A,SA,19-10-2019,00:45,01:00,189
N01171A,SA,19-10-2019,01:00,01:15,156
N01171A,SA,19-10-2019,01:15,01:30,166
N01171A,SA,19-10-2019,01:30,01:45,156
N01171A,SA,19-10-2019,01:45,02:00,179
N01171A,SA,19-10-2019,02:00,02:15,147
N01171A,SA,19-10-2019,02:15,02:30,105
N01171A,SA,19-10-2019,02:30,02:45,156
N01171A,SA,19-10-2019,02:45,03:00,115
N01171A,SA,19-10-2019,03:00,03:15,189
N01171A,SA,19-10-2019,03:15,03:30,218
N01171A,SA,19-10-2019,03:30,03:45,173
N01171A,SA,19-10-2019,03:45,04:00,204
N01171A,SA,19-10-2019,04:00,04:15,148
N01171A,SA,19-10-2019,04:15,04:30,124
N01171A,SA,19-10-2019,04:30,04:45,49
N01171A,SA,19-10-2019,04:45,05:00,71
N01171A,SA,19-10-2019,05:00,05:15,76
N01171A,SA,19-10-2019,05:15,05:30,147
N01171A,SA,19-10-2019,05:30,05:45,110
N01171A,SA,19-10-2019,05:45,06:00,167
N01171A,SA,19-10-2019,06:00,06:15,77
N01171A,SA,19-10-2019,06:15,06:30,134
N01171A,SA,19-10-2019,06:30,06:45,100
N01171A,SA,19-10-2019,06:45,07:00,197
N01171A,SA,19-10-2019,07:00,07:15,129
N01171A,SA,19-10-2019,07:15,07:30,106
N01171A,SA,19-10-2019,07:30,07:45,174
N01171A,SA,19-10-2019,07:45,08:00,181
N01171A,SA,19-10-2019,08:00,08:15,195
N01171A,SA,19-10-2019,08:15,08:30,227
N01171A,SA,19-10-2019,08:30,08:45,243
N01171A,SA,19-10-2019,08:45,09:00,267
N01171A,SA,19-10-2019,09:00,09:15,254
N01171A,SA,19-10-2019,09:15,09:30,300
N01171A,SA,19-10-2019,09:30,09:45,375
N01171A,SA,19-10-2019,09:45,10:00,360
N01171A,SA,19-10-2019,10:00,10:15,238
N01171A,SA,19-10-2019,10:15,10:30,344
N01171A,SA,19-10-2019,10:30,10:45,418
N01171A,SA,19-10-2019,10:45,11:00,355
N01171A,SA,19-10-2019,11:00,11:15,420
N01171A,SA,19-10-2019,11:15,11:30,397
N01171A,SA,19-10-2019,11:30,11:45,458
N01171A,SA,19-10-2019,11:45,12:00,532
N01171A,SA,19-10-2019,12:00,12:15,499
N01171A,SA,19-10-2019,12:15,12:30,577
N01171A,SA,19-10-2019,12:30,12:45,397
N01171A,SA,19-10-2019,12:45,13:00,497
N01171A,SA,19-10-2019,13:00,13:15,483
N01171A,SA,19-10-2019,13:15,13:30,442
N01171A,SA,19-10-2019,13:30,13:45,452
N01171A,SA,19-10-2019,13:45,14:00,514
N01171A,SA,19-10-2019,14:00,14:15,484
N01171A,SA,19-10-2019,14:15,14:30,515
N01171A,SA,19-10-2019,14:30,14:45,463
N01171A,SA,19-10-2019,14:45,15:00,550
N01171A,SA,19-10-2019,15:00,15:15,463
N01171A,SA,19-10-2019,15:15,15:30,578
N01171A,SA,19-10-2019,15:30,15:45,538
N01171A,SA,19-10-2019,15:45,16:00,499
N01171A,SA,19-10-2019,16:00,16:15,484
N01171A,SA,19-10-2019,16:15,16:30,513
N01171A,SA,19-10-2019,16:30,16:45,497
N01171A,SA,19-10-2019,16:45,17:00,565
N01171A,SA,19-10-2019,17:00,17:15,516
N01171A,SA,19-10-2019,17:15,17:30,655
N01171A,SA,19-10-2019,17:30,17:45,329
N01171A,SA,19-10-2019,17:45,18:00,399
N01171A,SA,19-10-2019,18:00,18:15,471
N01171A,SA,19-10-2019,18:15,18:30,543
N01171A,SA,19-10-2019,18:30,18:45,601
N01171A,SA,19-10-2019,18:45,19:00,398
N01171A,SA,19-10-2019,19:00,19:15,556
N01171A,SA,19-10-2019,19:15,19:30,495
N01171A,SA,19-10-2019,19:30,19:45,525
N01171A,SA,19-10-2019,19:45,20:00,490
N01171A,SA,19-10-2019,20:00,20:15,494
N01171A,SA,19-10-2019,20:15,20:30,302
N01171A,SA,19-10-2019,20:30,20:45,362
N01171A,SA,19-10-2019,20:45,21:00,381
N01171A,SA,19-10-2019,21:00,21:15,392
N01171A,SA,19-10-2019,21:15,21:30,463
N01171A,SA,19-10-2019,21:30,21:45,280
N01171A,SA,19-10-2019,21:45,22:00,370
N01171A,SA,19-10-2019,22:00,22:15,383
N01171A,SA,19-10-2019,22:15,22:30,436
N01171A,SA,19-10-2019,22:30,22:45,275
N01171A,SA,19-10-2019,22:45,23:00,322
N01171A,SA,19-10-2019,23:00,23:15,333
N01171A,SA,19-10-2019,23:15,23:30,418
N01171A,SA,19-10-2019,23:30,23:45,271
N01171A,SA,19-10-2019,23:45,24:00,272
N01171A,SU,20-10-2019,00:00,00:15,228
N01171A,SU,20-10-2019,00:15,00:30,340
N01171A,SU,20-10-2019,00:30,00:45,271
N01171A,SU,20-10-2019,00:45,01:00,295
N01171A,SU,20-10-2019,01:00,01:15,247
N01171A,SU,20-10-2019,01:15,01:30,259
N01171A,SU,20-10-2019,01:30,01:45,214
N01171A,SU,20-10-2019,01:45,02:00,228
N01171A,SU,20-10-2019,02:00,02:15,214
N01171A,SU,20-10-2019,02:15,02:30,176
N01171A,SU,20-10-2019,02:30,02:45,209
N01171A,SU,20-10-2019,02:45,03:00,177
N01171A,SU,20-10-2019,03:00,03:15,198
N01171A,SU,20-10-2019,03:15,03:30,285
N01171A,SU,20-10-2019,03:30,03:45,207
N01171A,SU,20-10-2019,03:45,04:00,199
N01171A,SU,20-10-2019,04:00,04:15,169
N01171A,SU,20-10-2019,04:15,04:30,153
N01171A,SU,20-10-2019,04:30,04:45,134
N01171A,SU,20-10-2019,04:45,05:00,110
N01171A,SU,20-10-2019,05:00,05:15,116
N01171A,SU,20-10-2019,05:15,05:30,69
N01171A,SU,20-10-2019,05:30,05:45,34
N01171A,SU,20-10-2019,05:45,06:00,109
N01171A,SU,20-10-2019,06:00,06:15,53
N01171A,SU,20-10-2019,06:15,06:30,71
N01171A,SU,20-10-2019,06:30,06:45,91
N01171A,SU,20-10-2019,06:45,07:00,73
N01171A,SU,20-10-2019,07:00,07:15,62
N01171A,SU,20-10-2019,07:15,07:30,71
N01171A,SU,20-10-2019,07:30,07:45,117
N01171A,SU,20-10-2019,07:45,08:00,148
N01171A,SU,20-10-2019,08:00,08:15,83
N01171A,SU,20-10-2019,08:15,08:30,75
N01171A,SU,20-10-2019,08:30,08:45,119
N01171A,SU,20-10-2019,08:45,09:00,161
N01171A,SU,20-10-2019,09:00,09:15,146
N01171A,SU,20-10-2019,09:15,09:30,236
N01171A,SU,20-10-2019,09:30,09:45,184
N01171A,SU,20-10-2019,09:45,10:00,288
N01171A,SU,20-10-2019,10:00,10:15,254
N01171A,SU,20-10-2019,10:15,10:30,302
N01171A,SU,20-10-2019,10:30,10:45,280
N01171A,SU,20-10-2019,10:45,11:00,345
N01171A,SU,20-10-2019,11:00,11:15,315
N01171A,SU,20-10-2019,11:15,11:30,347
N01171A,SU,20-10-2019,11:30,11:45,332
N01171A,SU,20-10-2019,11:45,12:00,392
N01171A,SU,20-10-2019,12:00,12:15,437
N01171A,SU,20-10-2019,12:15,12:30,509
N01171A,SU,20-10-2019,12:30,12:45,571
N01171A,SU,20-10-2019,12:45,13:00,523
N01171A,SU,20-10-2019,13:00,13:15,403
N01171A,SU,20-10-2019,13:15,13:30,445
N01171A,SU,20-10-2019,13:30,13:45,425
N01171A,SU,20-10-2019,13:45,14:00,444
N01171A,SU,20-10-2019,14:00,14:15,467
N01171A,SU,20-10-2019,14:15,14:30,534
N01171A,SU,20-10-2019,14:30,14:45,404
N01171A,SU,20-10-2019,14:45,15:00,485
N01171A,SU,20-10-2019,15:00,15:15,463
N01171A,SU,20-10-2019,15:15,15:30,412
N01171A,SU,20-10-2019,15:30,15:45,450
N01171A,SU,20-10-2019,15:45,16:00,466
N01171A,SU,20-10-2019,16:00,16:15,364
N01171A,SU,20-10-2019,16:15,16:30,434
N01171A,SU,20-10-2019,16:30,16:45,376
N01171A,SU,20-10-2019,16:45,17:00,480
N01171A,SU,20-10-2019,17:00,17:15,390
N01171A,SU,20-10-2019,17:15,17:30,318
N01171A,SU,20-10-2019,17:30,17:45,318
N01171A,SU,20-10-2019,17:45,18:00,438
N01171A,SU,20-10-2019,18:00,18:15,359
N01171A,SU,20-10-2019,18:15,18:30,376
N01171A,SU,20-10-2019,18:30,18:45,366
N01171A,SU,20-10-2019,18:45,19:00,376
N01171A,SU,20-10-2019,19:00,19:15,307
N01171A,SU,20-10-2019,19:15,19:30,351
N01171A,SU,20-10-2019,19:30,19:45,251
N01171A,SU,20-10-2019,19:45,20:00,332
N01171A,SU,20-10-2019,20:00,20:15,264
N01171A,SU,20-10-2019,20:15,20:30,301
N01171A,SU,20-10-2019,20:30,20:45,213
N01171A,SU,20-10-2019,20:45,21:00,262
N01171A,SU,20-10-2019,21:00,21:15,228
N01171A,SU,20-10-2019,21:15,21:30,225
N01171A,SU,20-10-2019,21:30,21:45,215
N01171A,SU,20-10-2019,21:45,22:00,235
N01171A,SU,20-10-2019,22:00,22:15,240
N01171A,SU,20-10-2019,22:15,22:30,214
N01171A,SU,20-10-2019,22:30,22:45,146
N01171A,SU,20-10-2019,22:45,23:00,193
N01171A,SU,20-10-2019,23:00,23:15,183
N01171A,SU,20-10-2019,23:15,23:30,147
N01171A,SU,20-10-2019,23:30,23:45,128
N01171A,SU,20-10-2019,23:45,24:00,134
N01171A,MO,21-10-2019,00:00,00:15,113
N01171A,MO,21-10-2019,00:15,00:30,82
N01171A,MO,21-10-2019,00:30,00:45,63
N01171A,MO,21-10-2019,00:45,01:00,70
N01171A,MO,21-10-2019,01:00,01:15,58
N01171A,MO,21-10-2019,01:15,01:30,50
N01171A,MO,21-10-2019,01:30,01:45,41
N01171A,MO,21-10-2019,01:45,02:00,43
N01171A,MO,21-10-2019,02:00,02:15,55
N01171A,MO,21-10-2019,02:15,02:30,26
N01171A,MO,21-10-2019,02:30,02:45,47
N01171A,MO,21-10-2019,02:45,03:00,58
N01171A,MO,21-10-2019,03:00,03:15,62
N01171A,MO,21-10-2019,03:15,03:30,36
N01171A,MO,21-10-2019,03:30,03:45,47
N01171A,MO,21-10-2019,03:45,04:00,68
N01171A,MO,21-10-2019,04:00,04:15,55
N01171A,MO,21-10-2019,04:15,04:30,39
N01171A,MO,21-10-2019,04:30,04:45,56
N01171A,MO,21-10-2019,04:45,05:00,88
N01171A,MO,21-10-2019,05:00,05:15,51
N01171A,MO,21-10-2019,05:15,05:30,110
N01171A,MO,21-10-2019,05:30,05:45,121
N01171A,MO,21-10-2019,05:45,06:00,123
N01171A,MO,21-10-2019,06:00,06:15,129
N01171A,MO,21-10-2019,06:15,06:30,180
N01171A,MO,21-10-2019,06:30,06:45,291
N01171A,MO,21-10-2019,06:45,07:00,312
N01171A,MO,21-10-2019,07:00,07:15,304
N01171A,MO,21-10-2019,07:15,07:30,331
N01171A,MO,21-10-2019,07:30,07:45,410
N01171A,MO,21-10-2019,07:45,08:00,512
N01171A,MO,21-10-2019,08:00,08:15,445
N01171A,MO,21-10-2019,08:15,08:30,567
N01171A,MO,21-10-2019,08:30,08:45,517
N01171A,MO,21-10-2019,08:45,09:00,422
N01171A,MO,21-10-2019,09:00,09:15,377
N01171A,MO,21-10-2019,09:15,09:30,510
N01171A,MO,21-10-2019,09:30,09:45,367
N01171A,MO,21-10-2019,09:45,10:00,399
N01171A,MO,21-10-2019,10:00,10:15,332
N01171A,MO,21-10-2019,10:15,10:30,424
N01171A,MO,21-10-2019,10:30,10:45,359
N01171A,MO,21-10-2019,10:45,11:00,384
N01171A,MO,21-10-2019,11:00,11:15,331
N01171A,MO,21-10-2019,11:15,11:30,456
N01171A,MO,21-10-2019,11:30,11:45,240
N01171A,MO,21-10-2019,11:45,12:00,454
N01171A,MO,21-10-2019,12:00,12:15,328
N01171A,MO,21-10-2019,12:15,12:30,399
N01171A,MO,21-10-2019,12:30,12:45,391
N01171A,MO,21-10-2019,12:45,13:00,427
N01171A,MO,21-10-2019,13:00,13:15,451
N01171A,MO,21-10-2019,13:15,13:30,386
N01171A,MO,21-10-2019,13:30,13:45,395
N01171A,MO,21-10-2019,13:45,14:00,439
N01171A,MO,21-10-2019,14:00,14:15,414
N01171A,MO,21-10-2019,14:15,14:30,456
N01171A,MO,21-10-2019,14:30,14:45,357
N01171A,MO,21-10-2019,14:45,15:00,522
N01171A,MO,21-10-2019,15:00,15:15,424
N01171A,MO,21-10-2019,15:15,15:30,560
N01171A,MO,21-10-2019,15:30,15:45,520
N01171A,MO,21-10-2019,15:45,16:00,446
N01171A,MO,21-10-2019,16:00,16:15,403
N01171A,MO,21-10-2019,16:15,16:30,447
N01171A,MO,21-10-2019,16:30,16:45,524
N01171A,MO,21-10-2019,16:45,17:00,478
N01171A,MO,21-10-2019,17:00,17:15,538
N01171A,MO,21-10-2019,17:15,17:30,521
