Site,Day,Date,StartTime,EndTime,Flow
N01171A,SA,01-08-2020,08:45,09:00,115
N01171A,SA,01-08-2020,09:00,09:15,106
N01171A,SA,01-08-2020,09:15,09:30,94
N01171A,SA,01-08-2020,09:30,09:45,140
N01171A,SA,01-08-2020,09:45,10:00,113
N01171A,SA,01-08-2020,10:00,10:15,174
N01171A,SA,01-08-2020,10:15,10:30,122
N01171A,SA,01-08-2020,10:30,10:45,139
N01171A,SA,01-08-2020,10:45,11:00,106
N01171A,SA,01-08-2020,11:00,11:15,139
N01171A,SA,01-08-2020,11:15,11:30,211
N01171A,SA,01-08-2020,11:30,11:45,182
N01171A,SA,01-08-2020,11:45,12:00,180
N01171A,SA,01-08-2020,12:00,12:15,194
N01171A,SA,01-08-2020,12:15,12:30,188
N01171A,SA,01-08-2020,12:30,12:45,216
N01171A,SA,01-08-2020,12:45,13:00,161
N01171A,SA,01-08-2020,13:00,13:15,120
N01171A,SA,01-08-2020,13:15,13:30,191
N01171A,SA,01-08-2020,13:30,13:45,184
N01171A,SA,01-08-2020,13:45,14:00,209
N01171A,SA,01-08-2020,14:00,14:15,209
N01171A,SA,01-08-2020,14:15,14:30,148
N01171A,SA,01-08-2020,14:30,14:45,238
N01171A,SA,01-08-2020,14:45,15:00,232
N01171A,SA,01-08-2020,15:00,15:15,173
N01171A,SA,01-08-2020,15:15,15:30,217
N01171A,SA,01-08-2020,15:30,15:45,149
N01171A,SA,01-08-2020,15:45,16:00,219
N01171A,SA,01-08-2020,16:00,16:15,205
N01171A,SA,01-08-2020,16:15,16:30,224
N01171A,SA,01-08-2020,16:30,16:45,202
N01171A,SA,01-08-2020,16:45,17:00,158
N01171A,SA,01-08-2020,17:00,17:15,175
N01171A,SA,01-08-2020,17:15,17:30,225
N01171A,SA,01-08-2020,17:30,17:45,157
N01171A,SA,01-08-2020,17:45,18:00,165
N01171A,SA,01-08-2020,18:00,18:15,102
N01171A,SA,01-08-2020,18:15,18:30,124
N01171A,SA,01-08-2020,18:30,18:45,131
N01171A,SA,01-08-2020,18:45,19:00,200
N01171A,SA,01-08-2020,19:00,19:15,116
N01171A,SA,01-08-2020,19:15,19:30,156
N01171A,SA,01-08-2020,19:30,19:45,168
N01171A,SA,01-08-2020,19:45,20:00,126
N01171A,SA,01-08-2020,20:00,20:15,152
N01171A,SA,01-08-2020,20:15,20:30,157
N01171A,SA,01-08-2020,20:30,20:45,178
N01171A,SA,01-08-2020,20:45,21:00,128
N01171A,SA,01-08-2020,21:00,21:15,154
N01171A,SA,01-08-2020,21:15,21:30,103
N01171A,SA,01-08-2020,21:30,21:45,140
N01171A,SA,01-08-2020,21:45,22:00,169
N01171A,SA,01-08-2020,22:00,22:15,147
N01171A,SA,01-08-2020,22:15,22:30,139
N01171A,SA,01-08-2020,22:30,22:45,168
N01171A,SA,01-08-2020,22:45,23:00,136
N01171A,SA,01-08-2020,23:00,23:15,135
N01171A,SA,01-08-2020,23:15,23:30,111
N01171A,SA,01-08-2020,23:30,23:45,103
N01171A,SA,01-08-2020,23:45,24:00,171
N01171A,SU,02-08-2020,00:00,00:15,132
N01171A,SU,02-08-2020,00:15,00:30,120
N01171A,SU,02-08-2020,00:30,00:45,99
N01171A,SU,02-08-2020,00:45,01:00,130
